# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
2.79136e-04        9.98409e-01
2.80640e-04        9.98399e-01
2.82152e-04        9.98389e-01
2.83673e-04        9.98379e-01
2.85201e-04        9.98369e-01
2.86738e-04        9.98358e-01
2.88284e-04        9.98348e-01
2.89837e-04        9.98337e-01
2.91399e-04        9.98326e-01
2.92969e-04        9.98316e-01
2.94548e-04        9.98305e-01
2.96136e-04        9.98294e-01
2.97731e-04        9.98282e-01
2.99336e-04        9.98271e-01
3.00949e-04        9.98260e-01
3.02571e-04        9.98248e-01
3.04201e-04        9.98237e-01
3.05841e-04        9.98225e-01
3.07489e-04        9.98213e-01
3.09146e-04        9.98201e-01
3.10812e-04        9.98189e-01
3.12487e-04        9.98177e-01
3.14171e-04        9.98164e-01
3.15864e-04        9.98152e-01
3.17566e-04        9.98139e-01
3.19277e-04        9.98126e-01
3.20998e-04        9.98114e-01
3.22728e-04        9.98101e-01
3.24467e-04        9.98087e-01
3.26215e-04        9.98074e-01
3.27973e-04        9.98061e-01
3.29741e-04        9.98047e-01
3.31518e-04        9.98034e-01
3.33304e-04        9.98020e-01
3.35100e-04        9.98006e-01
3.36906e-04        9.97992e-01
3.38722e-04        9.97977e-01
3.40547e-04        9.97963e-01
3.42382e-04        9.97948e-01
3.44228e-04        9.97934e-01
3.46083e-04        9.97919e-01
3.47948e-04        9.97904e-01
3.49823e-04        9.97889e-01
3.51708e-04        9.97874e-01
3.53603e-04        9.97858e-01
3.55509e-04        9.97843e-01
3.57425e-04        9.97827e-01
3.59351e-04        9.97811e-01
3.61287e-04        9.97795e-01
3.63234e-04        9.97779e-01
3.65192e-04        9.97762e-01
3.67160e-04        9.97746e-01
3.69138e-04        9.97729e-01
3.71128e-04        9.97712e-01
3.73128e-04        9.97695e-01
3.75138e-04        9.97678e-01
3.77160e-04        9.97660e-01
3.79192e-04        9.97643e-01
3.81236e-04        9.97625e-01
3.83290e-04        9.97607e-01
3.85356e-04        9.97589e-01
3.87433e-04        9.97571e-01
3.89520e-04        9.97552e-01
3.91619e-04        9.97533e-01
3.93730e-04        9.97515e-01
3.95852e-04        9.97496e-01
3.97985e-04        9.97476e-01
4.00130e-04        9.97457e-01
4.02286e-04        9.97437e-01
4.04454e-04        9.97417e-01
4.06633e-04        9.97397e-01
4.08825e-04        9.97377e-01
4.11028e-04        9.97357e-01
